car,model,price,year,mileage,location
Toyota Prius,Two,21950,2016,6255,Atlanta
Toyota Prius,Two,20887,2016,9997,Atlanta
Toyota Prius,Four,19998,2013,30322,Atlanta
Toyota Prius,Four,18800,2014,46219,Atlanta
Toyota Prius,Five,18499,2015,31579,Atlanta
Toyota Prius,Two,17999,2016,21740,Atlanta
Toyota Prius,Two,17979,2016,18295,Atlanta
Toyota Prius,Five,16999,2013,38045,Atlanta
Toyota Prius,Two,16995,2015,10016,Atlanta
Toyota Prius,Two,15999,2015,21000,Atlanta
Toyota Prius,Five,15999,2013,38046,Atlanta
Toyota Prius,Two,15991,2014,34669,Atlanta
Toyota Prius,Four,15787,2014,54655,Atlanta
Toyota Prius,Three,15750,2013,27510,Atlanta
Toyota Prius,Two,15480,2014,36695,Atlanta
Toyota Prius,Three,14999,2013,53512,Atlanta
Toyota Prius,Five,14999,2013,60497,Atlanta
Toyota Prius,Four,14991,2011,41529,Atlanta
Toyota Prius,Three,14987,2015,39755,Atlanta
Toyota Prius,Three SE,14985,2013,34670,Atlanta
Toyota Prius,,14977,2013,34111,Atlanta
Toyota Prius,Two,14900,2012,57714,Atlanta
Toyota Prius,,14899,2015,38929,Atlanta
Toyota Prius,Three,14879,2013,27446,Atlanta
Toyota Prius,Two,14799,2015,49929,Atlanta
Toyota Prius,Two,14799,2015,49929,Atlanta
Toyota Prius,Three,14780,2014,40249,Atlanta
Toyota Prius,Four,14750,2013,62134,Atlanta
Toyota Prius,Three,14672,2014,44208,Atlanta
Toyota Prius,Two,14599,2013,45276,Atlanta
Toyota Prius,Two,14587,2015,39004,Atlanta
Toyota Prius,Two,14488,2014,58465,Atlanta
Toyota Prius,Three,14299,2013,33058,Atlanta
Toyota Prius,Three,14262,2013,63546,Atlanta
Toyota Prius,Three,13999,2013,44141,Atlanta
Toyota Prius,,13999,2015,44923,Atlanta
Toyota Prius,Two,13999,2014,48411,Atlanta
Toyota Prius,Three,13999,2012,50013,Atlanta
Toyota Prius,Five,13999,2012,53791,Atlanta
Toyota Prius,Five,13999,2012,62012,Atlanta
